 APOLLO CONDOR ,1972,  98 m X 16 m ,  6341 t ,  V2LA4 ,7126102,304275000
 APOLLO FALCON ,1972,  101 m X 16 m ,  6336 t ,  V2AR7 ,7208728,304010981
 APOSTOL ANDREY ,2002,  128 m X 17 m ,  5435 t ,  9HGS8 ,9247601,215967000
 AQUA PEARL ,1981,  183 m X 29 m ,  38695 t ,  C6HU6 ,7909865,308797000
 AQUAMARINE ,1971,  194 m X 24 m ,  3700 t ,  SYAE ,7027411,240746000
 AQUARIUS ,1996,  81 m X 10 m ,  1500 t ,  LYST ,9143582,277373000
 AQUARIUS  ACE ,1998,  174 m X 29 m ,  14353 t ,  3FHB8 ,9150339,354123000
 AQUARIUS LEADER ,1998,  200 m X 32 m ,  22815 t ,  3FHT8 ,9158276,354370000
 ARABIAN BREEZE ,1983,  164 m X 28 m ,  12466 t ,  S6FW ,8202355,563373000
 ARABIAN ORCHID ,2007,  144 m X 25 m ,  19900 t ,  S6BB8 ,9347152,565509000
 ARADOS H ,1976,  117 m X 18 m ,  8176 t ,  YKOI ,7501871,468331000
 ARAHURA ,1983,  0 m X 0 m ,  2457 t ,  ZMBS ,8201454,512000034
 ARATERE ,1998,  150 m X 20 m ,  3977 t ,  ZMII ,9174828,512071000
 ARCHANGEL ,2005,  274 m X 50 m ,  163216 t ,  SVME ,9302592,240437000
 ARCO ADUR ,1988,  98 m X 17 m ,  5360 t ,  MJDB2 ,8700814,232001170
 ARCO ARUN ,1987,  98 m X 17 m ,  5360 t ,  GGNN ,8513431,232001250
 ARCO AXE ,1989,  98 m X 17 m ,  5348 t ,  MKXH8 ,8803783,232001260
 ARCO DIJK ,1992,  113 m X 20 m ,  9823 t ,  C6KY7 ,9034092,308165000
 ARCO HUMBER ,1972,  107 m X 20 m ,  8962 t ,  GRAL ,7204318,232004139
 ARCTIC SUNRISE ,1975,  49 m X 11 m ,  599 t ,  PE6851 ,7382902,245288000
 ARCTIC SWAN ,1969,  99 m X 13 m ,  4237 t ,  3EWG8 ,7005982,356363000
 ARCTIC VOYAGER ,2006,  289 m X 48 m ,  75000 t ,  C6VL2 ,9275335,309998000
 ARCTICA HAV ,1984,  82 m X 11 m ,  1890 t ,  C6UL8 ,8403571,311818000
 ARDEA ,2000,  90 m X 12 m ,  2600 t ,  PCHW ,9190327,246414000
 ARDENT ,1983,  55 m X 9 m ,  1180 t ,  GDFV ,8213445,232003437
 ARDENZA ,2008,  134 m X 24 m ,  15500 t ,  IBAE ,9377195,247256600
 ARETHUSA ,2001,  225 m X 30 m ,  75319 t ,  H3TK ,9225031,352947000
 ARGENTINA STAR ,1992,  150 m X 22 m ,  10588 t ,  A8GV6 ,8814304,636012654
 ARGIRONISSOS ,1992,  183 m X 32 m ,  45425 t ,  SVPE ,8917455,237896000
 ARGO I ,1976,  65 m X 14 m ,  1600 t ,  5BZF2 ,7432109,212844000
 ARGOS ,2007,  88 m X 12 m ,  3680 t ,  A8MY9 ,9383924,636091388
 ARGUS ,1981,  175 m X 20 m ,  12221 t ,  GDSA ,7822550,233303000
 ARIADNE ,1982,  89 m X 12 m ,  2044 t ,  PCTO ,8107050,244453000
 ARIADNE ,1982,  89 m X 12 m ,  2044 t ,  PCTO ,8107050,244453000
 ARIAKEMARU NO1 ,1992,  115 m X 20 m ,  3714 t ,  JK5122 ,9031789,431401723
 ARIANTA ,2004,  141 m X 20 m ,  12222 t ,  MGKU9 ,9285445,232698000
 ARINA ,1989,  105 m X 17 m ,  4402 t ,  LYRY ,8806163,277334000
 ARION ,1999,  0 m X 0 m ,  2500 t ,  V2MX ,9177868,304010885
 ARIONAS ,2006,  184 m X 27 m ,  37000 t ,  V7KX7 ,9315757,538002693
 ARISTON ,1984,  0 m X 0 m ,  37052 t ,  3FRP6 ,8300509,370683000
 ARKLOW FAME ,2006,  90 m X 14 m ,  4500 t ,  EIXN ,9361720,250000817
 ARKLOW FLAIR ,2006,  90 m X 14 m ,  4500 t ,  EIFW ,9361732,250000964
 ARKLOW FREEDOM ,2007,  90 m X 14 m ,  4500 t ,  EIEX9 ,9361756,250001396
 ARKLOW RACER ,2004,  90 m X 14 m ,  4390 t ,  EIQM ,9291729,250016000
 ARKLOW RIVAL ,2006,  90 m X 14 m ,  4504 t ,  EIXP ,9344514,250000772
 ARKLOW SURF ,2000,  90 m X 12 m ,  3171 t ,  PBAV ,9218222,245177000
 ARKLOW VENTURE ,1999,  90 m X 13 m ,  4966 t ,  PIAV ,9201839,244067000
 ARKLOW VIKING ,1999,  90 m X 13 m ,  4934 t ,  PIAX ,9163635,244302000
 ARKLOW WILLOW ,2004,  136 m X 21 m ,  13873 t ,  EIQP ,9314600,250000144
 ARKLOW WIND ,2004,  136 m X 21 m ,  13777 t ,  EIKZ ,9287314,250506000
 ARMADORES 1 ,1989,  9 m X 4 m ,  247 t ,  SY8463 ,8811285,240694000
 ARNGAST ,1958,  61 m X 10 m ,  1030 t ,  DDQD ,5387740,211215940
 ARROW ,1998,  122 m X 20 m ,  5656 t ,  9HGF8 ,9119414,215951000
 ARTEMIS ,1984,  231 m X 29 m ,  4661 t ,  ZCDM7 ,8201480,310456000
 ARTHUR MAERSK ,2003,  352 m X 43 m ,  109000 t ,  OXJH2 ,9260445,220221000
 ASAHI MARU ,1994,  225 m X 32 m ,  73914 t ,  JGQU ,9085687,431688000
 ASAKAZEMARU ,1989,  65 m X 14 m ,  461 t ,  JJ3660 ,8904226,431000564
 ASCENSION ,1993,  98 m X 17 m ,  4152 t ,  WBAS ,8912857,366944000
 ASHLEY ,2000,  89 m X 12 m ,  2953 t ,  PEDN ,9201944,244580000
 ASIA 21ST CENTURY ,1996,  110 m X 20 m ,  9688 t ,  3FZM5 ,9141912,356124000
 ASIAN BRE EZE ,1983,  164 m X 28 m ,  12562 t ,  9VYM ,8202381,564994000
 ASIAN EMPEROR ,1999,  200 m X 32 m ,  21479 t ,  3FKB9 ,9176632,357481000
 ASIAN REX ,1999,  101 m X 17 m ,  4181 t ,  3FAM9 ,9194919,357138000
 ASIR ,1998,  277 m X 32 m ,  49856 t ,  HZZQ ,9154531,403537000
